Game ID,Country,Z-score for % starting SCs,Z-score for distance to edge,Z-score for % SCs which are neutrals within two moves,Z-score for other player's starting units within three moves of player's units or SCs,Number of players,% Supply Centers at game end
37050,Carthage,0.00,0,-1.07,0.5,5,0.5294117647058824
37050,Persia,0.00,-1.118033989,0.27,-2,5,0.2647058823529412
37050,Greece,0.00,1.118033989,1.60,0.5,5,0.14705882352941177
37050,Rome,0.00,1.118033989,0.27,0.5,5,0.058823529411764705
37050,Egypt,0.00,-1.118033989,-1.07,0.5,5,0
36948,Carthage,0.00,0,-1.07,0.5,5,0.5588235294117647
36948,Greece,0.00,1.118033989,1.60,0.5,5,0.17647058823529413
36948,Persia,0.00,-1.118033989,0.27,-2,5,0.08823529411764706
36948,Rome,0.00,1.118033989,0.27,0.5,5,0.17647058823529413
36948,Egypt,0.00,-1.118033989,-1.07,0.5,5,0
36936,Greece,0.00,1.118033989,1.60,0.5,5,0.14705882352941177
36936,Persia,0.00,-1.118033989,0.27,-2,5,0.29411764705882354
36936,Rome,0.00,1.118033989,0.27,0.5,5,0.23529411764705882
36936,Egypt,0.00,-1.118033989,-1.07,0.5,5,0.20588235294117646
36936,Carthage,0.00,0,-1.07,0.5,5,0.11764705882352941
36893,Carthage,0.00,0,-1.07,0.5,5,0.5294117647058824
36893,Greece,0.00,1.118033989,1.60,0.5,5,0.17647058823529413
36893,Persia,0.00,-1.118033989,0.27,-2,5,0.23529411764705882
36893,Rome,0.00,1.118033989,0.27,0.5,5,0.058823529411764705
36893,Egypt,0.00,-1.118033989,-1.07,0.5,5,0
36880,Carthage,0.00,0,-1.07,0.5,5,0.47058823529411764
36880,Rome,0.00,1.118033989,0.27,0.5,5,0.3235294117647059
36880,Persia,0.00,-1.118033989,0.27,-2,5,0.20588235294117646
36880,Egypt,0.00,-1.118033989,-1.07,0.5,5,0
36880,Greece,0.00,1.118033989,1.60,0.5,5,0
36839,Persia,0.00,-1.118033989,0.27,-2,5,0.35294117647058826
36839,Rome,0.00,1.118033989,0.27,0.5,5,0.35294117647058826
36839,Egypt,0.00,-1.118033989,-1.07,0.5,5,0.29411764705882354
36839,Carthage,0.00,0,-1.07,0.5,5,0
36839,Greece,0.00,1.118033989,1.60,0.5,5,0
36687,Rome,0.00,1.118033989,0.27,0.5,5,0.5294117647058824
36687,Egypt,0.00,-1.118033989,-1.07,0.5,5,0.23529411764705882
36687,Greece,0.00,1.118033989,1.60,0.5,5,0.23529411764705882
36687,Persia,0.00,-1.118033989,0.27,-2,5,0.0
36687,Carthage,0.00,0,-1.07,0.5,5,0
36685,Rome,0.00,1.118033989,0.27,0.5,5,0.5294117647058824
36685,Persia,0.00,-1.118033989,0.27,-2,5,0.3235294117647059
36685,Greece,0.00,1.118033989,1.60,0.5,5,0.14705882352941177
36685,Carthage,0.00,0,-1.07,0.5,5,0
36685,Egypt,0.00,-1.118033989,-1.07,0.5,5,0
36653,Rome,0.00,1.118033989,0.27,0.5,5,0.5294117647058824
36653,Persia,0.00,-1.118033989,0.27,-2,5,0.38235294117647056
36653,Egypt,0.00,-1.118033989,-1.07,0.5,5,0.058823529411764705
36653,Carthage,0.00,0,-1.07,0.5,5,0.029411764705882353
36653,Greece,0.00,1.118033989,1.60,0.5,5,0
36627,Carthage,0.00,0,-1.07,0.5,5,0.5588235294117647
36627,Greece,0.00,1.118033989,1.60,0.5,5,0.3235294117647059
36627,Persia,0.00,-1.118033989,0.27,-2,5,0.11764705882352941
36627,Rome,0.00,1.118033989,0.27,0.5,5,0
36627,Egypt,0.00,-1.118033989,-1.07,0.5,5,0
36535,Persia,0.00,-1.118033989,0.27,-2,5,0.4117647058823529
36535,Rome,0.00,1.118033989,0.27,0.5,5,0.20588235294117646
36535,Carthage,0.00,0,-1.07,0.5,5,0.17647058823529413
36535,Egypt,0.00,-1.118033989,-1.07,0.5,5,0.11764705882352941
36535,Greece,0.00,1.118033989,1.60,0.5,5,0.029411764705882353
36514,Persia,0.00,-1.118033989,0.27,-2,5,0.5294117647058824
36514,Rome,0.00,1.118033989,0.27,0.5,5,0.35294117647058826
36514,Egypt,0.00,-1.118033989,-1.07,0.5,5,0.11764705882352941
36514,Carthage,0.00,0,-1.07,0.5,5,0.0
36514,Greece,0.00,1.118033989,1.60,0.5,5,0
36511,Egypt,0.00,-1.118033989,-1.07,0.5,5,0.5294117647058824
36511,Greece,0.00,1.118033989,1.60,0.5,5,0.2647058823529412
36511,Carthage,0.00,0,-1.07,0.5,5,0.14705882352941177
36511,Rome,0.00,1.118033989,0.27,0.5,5,0.058823529411764705
36511,Persia,0.00,-1.118033989,0.27,-2,5,0
36485,Carthage,0.00,0,-1.07,0.5,5,0.5294117647058824
36485,Rome,0.00,1.118033989,0.27,0.5,5,0.29411764705882354
36485,Persia,0.00,-1.118033989,0.27,-2,5,0.14705882352941177
36485,Egypt,0.00,-1.118033989,-1.07,0.5,5,0.029411764705882353
36485,Greece,0.00,1.118033989,1.60,0.5,5,0
36409,Greece,0.00,1.118033989,1.60,0.5,5,0.5294117647058824
36409,Carthage,0.00,0,-1.07,0.5,5,0.4117647058823529
36409,Egypt,0.00,-1.118033989,-1.07,0.5,5,0.058823529411764705
36409,Persia,0.00,-1.118033989,0.27,-2,5,0.0
36409,Rome,0.00,1.118033989,0.27,0.5,5,0
36292,Carthage,0.00,0,-1.07,0.5,5,0.5294117647058824
36292,Persia,0.00,-1.118033989,0.27,-2,5,0.2647058823529412
36292,Rome,0.00,1.118033989,0.27,0.5,5,0.14705882352941177
36292,Egypt,0.00,-1.118033989,-1.07,0.5,5,0.029411764705882353
36292,Greece,0.00,1.118033989,1.60,0.5,5,0.029411764705882353
36262,Persia,0.00,-1.118033989,0.27,-2,5,0.5
36262,Carthage,0.00,0,-1.07,0.5,5,0
36262,Rome,0.00,1.118033989,0.27,0.5,5,0
36262,Greece,0.00,1.118033989,1.60,0.5,5,0
36262,Egypt,0.00,-1.118033989,-1.07,0.5,5,0
36174,Carthage,0.00,0,-1.07,0.5,5,0.4411764705882353
36174,Persia,0.00,-1.118033989,0.27,-2,5,0.23529411764705882
36174,Greece,0.00,1.118033989,1.60,0.5,5,0.20588235294117646
36174,Rome,0.00,1.118033989,0.27,0.5,5,0.0
36174,Egypt,0.00,-1.118033989,-1.07,0.5,5,0.11764705882352941
36138,Carthage,0.00,0,-1.07,0.5,5,0.38235294117647056
36138,Egypt,0.00,-1.118033989,-1.07,0.5,5,0.3235294117647059
36138,Greece,0.00,1.118033989,1.60,0.5,5,0.29411764705882354
36138,Persia,0.00,-1.118033989,0.27,-2,5,0
36138,Rome,0.00,1.118033989,0.27,0.5,5,0
36079,Persia,0.00,-1.118033989,0.27,-2,5,0.23529411764705882
36079,Carthage,0.00,0,-1.07,0.5,5,0.35294117647058826
36079,Greece,0.00,1.118033989,1.60,0.5,5,0.2647058823529412
36079,Egypt,0.00,-1.118033989,-1.07,0.5,5,0.14705882352941177
36079,Rome,0.00,1.118033989,0.27,0.5,5,0
35895,Rome,0.00,1.118033989,0.27,0.5,5,0.29411764705882354
35895,Persia,0.00,-1.118033989,0.27,-2,5,0.29411764705882354
35895,Carthage,0.00,0,-1.07,0.5,5,0.17647058823529413
35895,Greece,0.00,1.118033989,1.60,0.5,5,0.14705882352941177
35895,Egypt,0.00,-1.118033989,-1.07,0.5,5,0.08823529411764706
35740,Carthage,0.00,0,-1.07,0.5,5,0.29411764705882354
35740,Greece,0.00,1.118033989,1.60,0.5,5,0.2647058823529412
35740,Rome,0.00,1.118033989,0.27,0.5,5,0.23529411764705882
35740,Egypt,0.00,-1.118033989,-1.07,0.5,5,0.17647058823529413
35740,Persia,0.00,-1.118033989,0.27,-2,5,0.029411764705882353
35607,Egypt,0.00,-1.118033989,-1.07,0.5,5,0.5588235294117647
35607,Carthage,0.00,0,-1.07,0.5,5,0.4117647058823529
35607,Greece,0.00,1.118033989,1.60,0.5,5,0.029411764705882353
35607,Persia,0.00,-1.118033989,0.27,-2,5,0
35607,Rome,0.00,1.118033989,0.27,0.5,5,0
35292,Persia,0.00,-1.118033989,0.27,-2,5,0.4411764705882353
35292,Rome,0.00,1.118033989,0.27,0.5,5,0
35292,Carthage,0.00,0,-1.07,0.5,5,0
35292,Egypt,0.00,-1.118033989,-1.07,0.5,5,0
35292,Greece,0.00,1.118033989,1.60,0.5,5,0
35106,Egypt,0.00,-1.118033989,-1.07,0.5,5,0.5294117647058824
35106,Carthage,0.00,0,-1.07,0.5,5,0.38235294117647056
35106,Greece,0.00,1.118033989,1.60,0.5,5,0.08823529411764706
35106,Rome,0.00,1.118033989,0.27,0.5,5,0.0
35106,Persia,0.00,-1.118033989,0.27,-2,5,0
34966,Carthage,0.00,0,-1.07,0.5,5,0.5
34966,Rome,0.00,1.118033989,0.27,0.5,5,0.5
34966,Egypt,0.00,-1.118033989,-1.07,0.5,5,0
34966,Persia,0.00,-1.118033989,0.27,-2,5,0
34966,Greece,0.00,1.118033989,1.60,0.5,5,0
34758,Egypt,0.00,-1.118033989,-1.07,0.5,5,0.2647058823529412
34758,Rome,0.00,1.118033989,0.27,0.5,5,0.20588235294117646
34758,Carthage,0.00,0,-1.07,0.5,5,0.20588235294117646
34758,Greece,0.00,1.118033989,1.60,0.5,5,0.11764705882352941
34758,Persia,0.00,-1.118033989,0.27,-2,5,0.20588235294117646
34496,Greece,0.00,1.118033989,1.60,0.5,5,0.35294117647058826
34496,Rome,0.00,1.118033989,0.27,0.5,5,0.2647058823529412
34496,Egypt,0.00,-1.118033989,-1.07,0.5,5,0.20588235294117646
34496,Carthage,0.00,0,-1.07,0.5,5,0.08823529411764706
34496,Persia,0.00,-1.118033989,0.27,-2,5,0.08823529411764706
34289,Greece,0.00,1.118033989,1.60,0.5,5,0.5294117647058824
34289,Carthage,0.00,0,-1.07,0.5,5,0.47058823529411764
34289,Persia,0.00,-1.118033989,0.27,-2,5,0.0
34289,Rome,0.00,1.118033989,0.27,0.5,5,0
34289,Egypt,0.00,-1.118033989,-1.07,0.5,5,0
34252,Rome,0.00,1.118033989,0.27,0.5,5,0.35294117647058826
34252,Egypt,0.00,-1.118033989,-1.07,0.5,5,0.3235294117647059
34252,Persia,0.00,-1.118033989,0.27,-2,5,0.14705882352941177
34252,Carthage,0.00,0,-1.07,0.5,5,0.08823529411764706
34252,Greece,0.00,1.118033989,1.60,0.5,5,0.08823529411764706
34176,Carthage,0.00,0,-1.07,0.5,5,0.4411764705882353
34176,Greece,0.00,1.118033989,1.60,0.5,5,0.20588235294117646
34176,Persia,0.00,-1.118033989,0.27,-2,5,0.17647058823529413
34176,Egypt,0.00,-1.118033989,-1.07,0.5,5,0.08823529411764706
34176,Rome,0.00,1.118033989,0.27,0.5,5,0.029411764705882353
34025,Persia,0.00,-1.118033989,0.27,-2,5,0.35294117647058826
34025,Carthage,0.00,0,-1.07,0.5,5,0.3235294117647059
34025,Rome,0.00,1.118033989,0.27,0.5,5,0.3235294117647059
34025,Egypt,0.00,-1.118033989,-1.07,0.5,5,0
34025,Greece,0.00,1.118033989,1.60,0.5,5,0
34002,Persia,0.00,-1.118033989,0.27,-2,5,0.5294117647058824
34002,Carthage,0.00,0,-1.07,0.5,5,0.29411764705882354
34002,Egypt,0.00,-1.118033989,-1.07,0.5,5,0.08823529411764706
34002,Rome,0.00,1.118033989,0.27,0.5,5,0.08823529411764706
34002,Greece,0.00,1.118033989,1.60,0.5,5,0
33945,Persia,0.00,-1.118033989,0.27,-2,5,0.38235294117647056
33945,Egypt,0.00,-1.118033989,-1.07,0.5,5,0.3235294117647059
33945,Carthage,0.00,0,-1.07,0.5,5,0.29411764705882354
