Game ID,Country,Z-score for % starting SCs,Z-score for distance to edge,Z-score for % SCs which are neutrals within two moves,Z-score for other player's starting units within three moves of player's units or SCs,Number of players,% Supply Centers at game end
36887,England,-0.38,-0.30,0.53,-1.38,7,0.35294117647058826
36887,France,-0.38,-0.30,-1.52,0.19,7,0.3235294117647059
36887,Turkey,-0.38,-0.30,0.53,-1.12,7,0.3235294117647059
36887,Italy,-0.38,-0.30,-1.52,-0.34,7,0
36887,Germany,-0.38,1.80,0.53,1.23,7,0
36887,Austria,-0.38,0.75,0.53,0.45,7,0
36887,Russia,2.27,-1.35,0.53,0.97,7,0
36721,England,-0.38,-0.30,0.53,-1.38,7,0.23529411764705882
36721,Austria,-0.38,0.75,0.53,0.45,7,0.20588235294117646
36721,Turkey,-0.38,-0.30,0.53,-1.12,7,0.17647058823529413
36721,Italy,-0.38,-0.30,-1.52,-0.34,7,0.14705882352941177
36721,Germany,-0.38,1.80,0.53,1.23,7,0.14705882352941177
36721,Russia,2.27,-1.35,0.53,0.97,7,0.058823529411764705
36721,France,-0.38,-0.30,-1.52,0.19,7,0.029411764705882353
36686,England,-0.38,-0.30,0.53,-1.38,7,0.5588235294117647
36686,Italy,-0.38,-0.30,-1.52,-0.34,7,0.20588235294117646
36686,Turkey,-0.38,-0.30,0.53,-1.12,7,0.17647058823529413
36686,Germany,-0.38,1.80,0.53,1.23,7,0.058823529411764705
36686,France,-0.38,-0.30,-1.52,0.19,7,0
36686,Austria,-0.38,0.75,0.53,0.45,7,0
36686,Russia,2.27,-1.35,0.53,0.97,7,0
36619,Italy,-0.38,-0.30,-1.52,-0.34,7,0.5588235294117647
36619,Russia,2.27,-1.35,0.53,0.97,7,0.11764705882352941
36619,Germany,-0.38,1.80,0.53,1.23,7,0.058823529411764705
36619,France,-0.38,-0.30,-1.52,0.19,7,0.2647058823529412
36619,Austria,-0.38,0.75,0.53,0.45,7,0
36619,Turkey,-0.38,-0.30,0.53,-1.12,7,0
36619,England,-0.38,-0.30,0.53,-1.38,7,0
36616,Germany,-0.38,1.80,0.53,1.23,7,0.35294117647058826
36616,Russia,2.27,-1.35,0.53,0.97,7,0.38235294117647056
36616,Austria,-0.38,0.75,0.53,0.45,7,0.2647058823529412
36616,France,-0.38,-0.30,-1.52,0.19,7,0
36616,Italy,-0.38,-0.30,-1.52,-0.34,7,0
36616,Turkey,-0.38,-0.30,0.53,-1.12,7,0
36616,England,-0.38,-0.30,0.53,-1.38,7,0
36583,France,-0.38,-0.30,-1.52,0.19,7,0.47058823529411764
36583,Germany,-0.38,1.80,0.53,1.23,7,0.4411764705882353
36583,Austria,-0.38,0.75,0.53,0.45,7,0.08823529411764706
36583,England,-0.38,-0.30,0.53,-1.38,7,0
36583,Russia,2.27,-1.35,0.53,0.97,7,0
36583,Turkey,-0.38,-0.30,0.53,-1.12,7,0
36583,Italy,-0.38,-0.30,-1.52,-0.34,7,0
