Game ID,Country,Z-score for % starting SCs,Z-score for distance to edge,Z-score for % SCs which are neutrals within two moves,Z-score for other player's starting units within three moves of player's units or SCs,Number of players,% Supply Centers at game end
36484,Ukraine,0.33,-0.142857143,0.46,0.214176468,10,0.453125
36484,Spain,-1.33,0.571428571,-1.63,-0.642529405,10,0.171875
36484,Britain,0.33,-0.857142857,0.04,-1.070882342,10,0.140625
36484,Egypt,-1.33,-1.571428571,-1.22,-1.927588216,10,0.125
36484,Germany,0.33,1.285714286,1.30,0.642529405,10,0.0625
36484,Poland,-1.33,1.285714286,0.04,1.499235279,10,0.03125
36484,Russia,2.00,-0.857142857,-0.38,1.070882342,10,0.015625
36484,France,0.33,-0.142857143,-0.80,0.642529405,10,0.0
36484,Turkey,0.33,-0.857142857,0.46,-0.642529405,10,0.0
36484,Italy,0.33,1.285714286,1.72,0.214176468,10,0
35841,Ukraine,0.33,-0.142857143,0.46,0.214176468,10,0.265625
35841,Italy,0.33,1.285714286,1.72,0.214176468,10,0
35841,Egypt,-1.33,-1.571428571,-1.22,-1.927588216,10,0
35841,Russia,2.00,-0.857142857,-0.38,1.070882342,10,0
35841,Britain,0.33,-0.857142857,0.04,-1.070882342,10,0
35841,Spain,-1.33,0.571428571,-1.63,-0.642529405,10,0
35841,Germany,0.33,1.285714286,1.30,0.642529405,10,0
35841,France,0.33,-0.142857143,-0.80,0.642529405,10,0
35841,Poland,-1.33,1.285714286,0.04,1.499235279,10,0
35841,Turkey,0.33,-0.857142857,0.46,-0.642529405,10,0
35688,Italy,0.33,1.285714286,1.72,0.214176468,10,0.328125
35688,Germany,0.33,1.285714286,1.30,0.642529405,10,0.1875
35688,Russia,2.00,-0.857142857,-0.38,1.070882342,10,0.140625
35688,Poland,-1.33,1.285714286,0.04,1.499235279,10,0.09375
35688,Turkey,0.33,-0.857142857,0.46,-0.642529405,10,0.09375
35688,Britain,0.33,-0.857142857,0.04,-1.070882342,10,0.078125
35688,Spain,-1.33,0.571428571,-1.63,-0.642529405,10,0.078125
35688,France,0.33,-0.142857143,-0.80,0.642529405,10,0.0
35688,Egypt,-1.33,-1.571428571,-1.22,-1.927588216,10,0
35688,Ukraine,0.33,-0.142857143,0.46,0.214176468,10,0
35673,Britain,0.33,-0.857142857,0.04,-1.070882342,10,0.5625
35673,France,0.33,-0.142857143,-0.80,0.642529405,10,0.359375
35673,Egypt,-1.33,-1.571428571,-1.22,-1.927588216,10,0.078125
35673,Germany,0.33,1.285714286,1.30,0.642529405,10,0
35673,Italy,0.33,1.285714286,1.72,0.214176468,10,0
35673,Poland,-1.33,1.285714286,0.04,1.499235279,10,0
35673,Russia,2.00,-0.857142857,-0.38,1.070882342,10,0
35673,Spain,-1.33,0.571428571,-1.63,-0.642529405,10,0
35673,Turkey,0.33,-0.857142857,0.46,-0.642529405,10,0
35673,Ukraine,0.33,-0.142857143,0.46,0.214176468,10,0
35406,Ukraine,0.33,-0.142857143,0.46,0.214176468,10,0.296875
35406,Italy,0.33,1.285714286,1.72,0.214176468,10,0.234375
35406,France,0.33,-0.142857143,-0.80,0.642529405,10,0.140625
35406,Russia,2.00,-0.857142857,-0.38,1.070882342,10,0.109375
35406,Spain,-1.33,0.571428571,-1.63,-0.642529405,10,0.109375
35406,Turkey,0.33,-0.857142857,0.46,-0.642529405,10,0.109375
35406,Britain,0.33,-0.857142857,0.04,-1.070882342,10,0
35406,Egypt,-1.33,-1.571428571,-1.22,-1.927588216,10,0
35406,Poland,-1.33,1.285714286,0.04,1.499235279,10,0
35406,Germany,0.33,1.285714286,1.30,0.642529405,10,0
35003,Germany,0.33,1.285714286,1.30,0.642529405,10,0.296875
35003,Ukraine,0.33,-0.142857143,0.46,0.214176468,10,0.28125
35003,Britain,0.33,-0.857142857,0.04,-1.070882342,10,0.21875
35003,Poland,-1.33,1.285714286,0.04,1.499235279,10,0.203125
35003,Russia,2.00,-0.857142857,-0.38,1.070882342,10,0
35003,Spain,-1.33,0.571428571,-1.63,-0.642529405,10,0
35003,Turkey,0.33,-0.857142857,0.46,-0.642529405,10,0
35003,Egypt,-1.33,-1.571428571,-1.22,-1.927588216,10,0
35003,France,0.33,-0.142857143,-0.80,0.642529405,10,0
35003,Italy,0.33,1.285714286,1.72,0.214176468,10,0
34203,Germany,0.33,1.285714286,1.30,0.642529405,10,0.515625
34203,Spain,-1.33,0.571428571,-1.63,-0.642529405,10,0.203125
34203,Turkey,0.33,-0.857142857,0.46,-0.642529405,10,0.171875
34203,Egypt,-1.33,-1.571428571,-1.22,-1.927588216,10,0.09375
34203,Russia,2.00,-0.857142857,-0.38,1.070882342,10,0.015625
34203,Italy,0.33,1.285714286,1.72,0.214176468,10,0
34203,Britain,0.33,-0.857142857,0.04,-1.070882342,10,0
34203,France,0.33,-0.142857143,-0.80,0.642529405,10,0
34203,Poland,-1.33,1.285714286,0.04,1.499235279,10,0
34203,Ukraine,0.33,-0.142857143,0.46,0.214176468,10,0
34114,Germany,0.33,1.285714286,1.30,0.642529405,10,0.234375
34114,Italy,0.33,1.285714286,1.72,0.214176468,10,0.21875
34114,Spain,-1.33,0.571428571,-1.63,-0.642529405,10,0.1875
34114,Russia,2.00,-0.857142857,-0.38,1.070882342,10,0.15625
34114,Turkey,0.33,-0.857142857,0.46,-0.642529405,10,0.09375
34114,Egypt,-1.33,-1.571428571,-1.22,-1.927588216,10,0.078125
34114,Poland,-1.33,1.285714286,0.04,1.499235279,10,0.03125
34114,Ukraine,0.33,-0.142857143,0.46,0.214176468,10,0
34114,France,0.33,-0.142857143,-0.80,0.642529405,10,0
34114,Britain,0.33,-0.857142857,0.04,-1.070882342,10,0
33898,Britain,0.33,-0.857142857,0.04,-1.070882342,10,0.4375
33898,Italy,0.33,1.285714286,1.72,0.214176468,10,0.34375
33898,Turkey,0.33,-0.857142857,0.46,-0.642529405,10,0.21875
33898,Egypt,-1.33,-1.571428571,-1.22,-1.927588216,10,0
33898,France,0.33,-0.142857143,-0.80,0.642529405,10,0
33898,Spain,-1.33,0.571428571,-1.63,-0.642529405,10,0
33898,Poland,-1.33,1.285714286,0.04,1.499235279,10,0
33898,Germany,0.33,1.285714286,1.30,0.642529405,10,0
33898,Russia,2.00,-0.857142857,-0.38,1.070882342,10,0
33898,Ukraine,0.33,-0.142857143,0.46,0.214176468,10,0
33857,Russia,2.00,-0.857142857,-0.38,1.070882342,10,0.515625
33857,Turkey,0.33,-0.857142857,0.46,-0.642529405,10,0.484375
33857,France,0.33,-0.142857143,-0.80,0.642529405,10,0.0
33857,Britain,0.33,-0.857142857,0.04,-1.070882342,10,0
33857,Egypt,-1.33,-1.571428571,-1.22,-1.927588216,10,0
33857,Germany,0.33,1.285714286,1.30,0.642529405,10,0
33857,Italy,0.33,1.285714286,1.72,0.214176468,10,0
33857,Poland,-1.33,1.285714286,0.04,1.499235279,10,0
33857,Spain,-1.33,0.571428571,-1.63,-0.642529405,10,0
33857,Ukraine,0.33,-0.142857143,0.46,0.214176468,10,0
33454,Germany,0.33,1.285714286,1.30,0.642529405,10,0.296875
33454,France,0.33,-0.142857143,-0.80,0.642529405,10,0.25
33454,Turkey,0.33,-0.857142857,0.46,-0.642529405,10,0.21875
33454,Italy,0.33,1.285714286,1.72,0.214176468,10,0.234375
33454,Britain,0.33,-0.857142857,0.04,-1.070882342,10,0
33454,Egypt,-1.33,-1.571428571,-1.22,-1.927588216,10,0
33454,Poland,-1.33,1.285714286,0.04,1.499235279,10,0
33454,Russia,2.00,-0.857142857,-0.38,1.070882342,10,0
33454,Spain,-1.33,0.571428571,-1.63,-0.642529405,10,0
33454,Ukraine,0.33,-0.142857143,0.46,0.214176468,10,0
33045,Germany,0.33,1.285714286,1.30,0.642529405,10,0.453125
33045,Russia,2.00,-0.857142857,-0.38,1.070882342,10,0.140625
33045,Turkey,0.33,-0.857142857,0.46,-0.642529405,10,0.109375
33045,Egypt,-1.33,-1.571428571,-1.22,-1.927588216,10,0.09375
33045,Spain,-1.33,0.571428571,-1.63,-0.642529405,10,0.09375
33045,Britain,0.33,-0.857142857,0.04,-1.070882342,10,0.078125
33045,Italy,0.33,1.285714286,1.72,0.214176468,10,0.03125
33045,France,0.33,-0.142857143,-0.80,0.642529405,10,0
33045,Ukraine,0.33,-0.142857143,0.46,0.214176468,10,0
33045,Poland,-1.33,1.285714286,0.04,1.499235279,10,0
32980,Italy,0.33,1.285714286,1.72,0.214176468,10,0.34375
32980,Ukraine,0.33,-0.142857143,0.46,0.214176468,10,0.28125
32980,Germany,0.33,1.285714286,1.30,0.642529405,10,0.234375
32980,Egypt,-1.33,-1.571428571,-1.22,-1.927588216,10,0.140625
32980,Britain,0.33,-0.857142857,0.04,-1.070882342,10,0
32980,France,0.33,-0.142857143,-0.80,0.642529405,10,0
32980,Poland,-1.33,1.285714286,0.04,1.499235279,10,0
32980,Russia,2.00,-0.857142857,-0.38,1.070882342,10,0
32980,Spain,-1.33,0.571428571,-1.63,-0.642529405,10,0
32980,Turkey,0.33,-0.857142857,0.46,-0.642529405,10,0
32958,Germany,0.33,1.285714286,1.30,0.642529405,10,0.4375
32958,France,0.33,-0.142857143,-0.80,0.642529405,10,0.390625
32958,Egypt,-1.33,-1.571428571,-1.22,-1.927588216,10,0.15625
32958,Ukraine,0.33,-0.142857143,0.46,0.214176468,10,0.015625
32958,Britain,0.33,-0.857142857,0.04,-1.070882342,10,0
32958,Italy,0.33,1.285714286,1.72,0.214176468,10,0
32958,Poland,-1.33,1.285714286,0.04,1.499235279,10,0
32958,Russia,2.00,-0.857142857,-0.38,1.070882342,10,0
32958,Spain,-1.33,0.571428571,-1.63,-0.642529405,10,0
32958,Turkey,0.33,-0.857142857,0.46,-0.642529405,10,0
32748,Turkey,0.33,-0.857142857,0.46,-0.642529405,10,0.53125
32748,France,0.33,-0.142857143,-0.80,0.642529405,10,0.203125
32748,Britain,0.33,-0.857142857,0.04,-1.070882342,10,0.15625
32748,Spain,-1.33,0.571428571,-1.63,-0.642529405,10,0.09375
32748,Poland,-1.33,1.285714286,0.04,1.499235279,10,0.015625
32748,Ukraine,0.33,-0.142857143,0.46,0.214176468,10,0
32748,Germany,0.33,1.285714286,1.30,0.642529405,10,0
32748,Italy,0.33,1.285714286,1.72,0.214176468,10,0
32748,Egypt,-1.33,-1.571428571,-1.22,-1.927588216,10,0
32748,Russia,2.00,-0.857142857,-0.38,1.070882342,10,0
32280,Italy,0.33,1.285714286,1.72,0.214176468,10,0.15625
32280,Poland,-1.33,1.285714286,0.04,1.499235279,10,0.140625
32280,Turkey,0.33,-0.857142857,0.46,-0.642529405,10,0.140625
32280,Germany,0.33,1.285714286,1.30,0.642529405,10,0.125
32280,Egypt,-1.33,-1.571428571,-1.22,-1.927588216,10,0.109375
32280,Spain,-1.33,0.571428571,-1.63,-0.642529405,10,0.109375
32280,Britain,0.33,-0.857142857,0.04,-1.070882342,10,0.078125
32280,Ukraine,0.33,-0.142857143,0.46,0.214176468,10,0.0625
32280,Russia,2.00,-0.857142857,-0.38,1.070882342,10,0.046875
32280,France,0.33,-0.142857143,-0.80,0.642529405,10,0.03125
31884,Ukraine,0.33,-0.142857143,0.46,0.214176468,10,0.5
31884,Turkey,0.33,-0.857142857,0.46,-0.642529405,10,0.1875
31884,Spain,-1.33,0.571428571,-1.63,-0.642529405,10,0.171875
31884,France,0.33,-0.142857143,-0.80,0.642529405,10,0.125
31884,Egypt,-1.33,-1.571428571,-1.22,-1.927588216,10,0
31884,Russia,2.00,-0.857142857,-0.38,1.070882342,10,0
31884,Poland,-1.33,1.285714286,0.04,1.499235279,10,0
31884,Britain,0.33,-0.857142857,0.04,-1.070882342,10,0
31884,Italy,0.33,1.285714286,1.72,0.214176468,10,0
31884,Germany,0.33,1.285714286,1.30,0.642529405,10,0
31719,Poland,-1.33,1.285714286,0.04,1.499235279,10,0.15625
31719,France,0.33,-0.142857143,-0.80,0.642529405,10,0.15625
31719,Spain,-1.33,0.571428571,-1.63,-0.642529405,10,0.140625
31719,Ukraine,0.33,-0.142857143,0.46,0.214176468,10,0.125
31719,Russia,2.00,-0.857142857,-0.38,1.070882342,10,0.125
31719,Egypt,-1.33,-1.571428571,-1.22,-1.927588216,10,0.09375
31719,Britain,0.33,-0.857142857,0.04,-1.070882342,10,0.078125
31719,Italy,0.33,1.285714286,1.72,0.214176468,10,0.03125
31719,Turkey,0.33,-0.857142857,0.46,-0.642529405,10,0.09375
31719,Germany,0.33,1.285714286,1.30,0.642529405,10,0
31085,Italy,0.33,1.285714286,1.72,0.214176468,10,0.484375
31085,Germany,0.33,1.285714286,1.30,0.642529405,10,0.3125
31085,Egypt,-1.33,-1.571428571,-1.22,-1.927588216,10,0.203125
31085,Ukraine,0.33,-0.142857143,0.46,0.214176468,10,0
31085,France,0.33,-0.142857143,-0.80,0.642529405,10,0
31085,Turkey,0.33,-0.857142857,0.46,-0.642529405,10,0
31085,Britain,0.33,-0.857142857,0.04,-1.070882342,10,0
31085,Russia,2.00,-0.857142857,-0.38,1.070882342,10,0
31085,Spain,-1.33,0.571428571,-1.63,-0.642529405,10,0
31085,Poland,-1.33,1.285714286,0.04,1.499235279,10,0
30886,Turkey,0.33,-0.857142857,0.46,-0.642529405,10,0.5
30886,Russia,2.00,-0.857142857,-0.38,1.070882342,10,0.375
30886,Egypt,-1.33,-1.571428571,-1.22,-1.927588216,10,0.125
30886,Britain,0.33,-0.857142857,0.04,-1.070882342,10,0
30886,France,0.33,-0.142857143,-0.80,0.642529405,10,0
30886,Germany,0.33,1.285714286,1.30,0.642529405,10,0
30886,Italy,0.33,1.285714286,1.72,0.214176468,10,0
30886,Poland,-1.33,1.285714286,0.04,1.499235279,10,0
30886,Spain,-1.33,0.571428571,-1.63,-0.642529405,10,0
30886,Ukraine,0.33,-0.142857143,0.46,0.214176468,10,0
30725,France,0.33,-0.142857143,-0.80,0.642529405,10,0.546875
30725,Turkey,0.33,-0.857142857,0.46,-0.642529405,10,0.296875
30725,Russia,2.00,-0.857142857,-0.38,1.070882342,10,0.15625
30725,Germany,0.33,1.285714286,1.30,0.642529405,10,0.0
30725,Britain,0.33,-0.857142857,0.04,-1.070882342,10,0
30725,Ukraine,0.33,-0.142857143,0.46,0.214176468,10,0
30725,Egypt,-1.33,-1.571428571,-1.22,-1.927588216,10,0
30725,Spain,-1.33,0.571428571,-1.63,-0.642529405,10,0
30725,Poland,-1.33,1.285714286,0.04,1.499235279,10,0
30725,Italy,0.33,1.285714286,1.72,0.214176468,10,0
30611,Ukraine,0.33,-0.142857143,0.46,0.214176468,10,0.53125
30611,Spain,-1.33,0.571428571,-1.63,-0.642529405,10,0.328125
30611,Italy,0.33,1.285714286,1.72,0.214176468,10,0.109375
30611,Poland,-1.33,1.285714286,0.04,1.499235279,10,0.03125
30611,Germany,0.33,1.285714286,1.30,0.642529405,10,0
30611,Russia,2.00,-0.857142857,-0.38,1.070882342,10,0
30611,Britain,0.33,-0.857142857,0.04,-1.070882342,10,0
30611,Egypt,-1.33,-1.571428571,-1.22,-1.927588216,10,0
30611,France,0.33,-0.142857143,-0.80,0.642529405,10,0
30611,Turkey,0.33,-0.857142857,0.46,-0.642529405,10,0
30365,Ukraine,0.33,-0.142857143,0.46,0.214176468,10,0.359375
30365,Germany,0.33,1.285714286,1.30,0.642529405,10,0.3125
30365,Spain,-1.33,0.571428571,-1.63,-0.642529405,10,0.1875
30365,Egypt,-1.33,-1.571428571,-1.22,-1.927588216,10,0.109375
30365,Turkey,0.33,-0.857142857,0.46,-0.642529405,10,0.03125
30365,Poland,-1.33,1.285714286,0.04,1.499235279,10,0
30365,Russia,2.00,-0.857142857,-0.38,1.070882342,10,0
30365,Britain,0.33,-0.857142857,0.04,-1.070882342,10,0
30365,France,0.33,-0.142857143,-0.80,0.642529405,10,0
30365,Italy,0.33,1.285714286,1.72,0.214176468,10,0
30232,Egypt,-1.33,-1.571428571,-1.22,-1.927588216,10,0.53125
30232,France,0.33,-0.142857143,-0.80,0.642529405,10,0.265625
30232,Poland,-1.33,1.285714286,0.04,1.499235279,10,0.125
30232,Germany,0.33,1.285714286,1.30,0.642529405,10,0.0625
30232,Italy,0.33,1.285714286,1.72,0.214176468,10,0.015625
30232,Britain,0.33,-0.857142857,0.04,-1.070882342,10,0
30232,Russia,2.00,-0.857142857,-0.38,1.070882342,10,0
30232,Spain,-1.33,0.571428571,-1.63,-0.642529405,10,0
30232,Turkey,0.33,-0.857142857,0.46,-0.642529405,10,0
30232,Ukraine,0.33,-0.142857143,0.46,0.214176468,10,0
30015,Russia,2.00,-0.857142857,-0.38,1.070882342,10,0.71875
30015,Turkey,0.33,-0.857142857,0.46,-0.642529405,10,0.15625
30015,Ukraine,0.33,-0.142857143,0.46,0.214176468,10,0.125
30015,Spain,-1.33,0.571428571,-1.63,-0.642529405,10,0.0
30015,Poland,-1.33,1.285714286,0.04,1.499235279,10,0
30015,Britain,0.33,-0.857142857,0.04,-1.070882342,10,0
30015,France,0.33,-0.142857143,-0.80,0.642529405,10,0
30015,Egypt,-1.33,-1.571428571,-1.22,-1.927588216,10,0
30015,Germany,0.33,1.285714286,1.30,0.642529405,10,0
30015,Italy,0.33,1.285714286,1.72,0.214176468,10,0
30002,Spain,-1.33,0.571428571,-1.63,-0.642529405,10,0.296875
30002,Poland,-1.33,1.285714286,0.04,1.499235279,10,0.265625
30002,Egypt,-1.33,-1.571428571,-1.22,-1.927588216,10,0.203125
30002,Ukraine,0.33,-0.142857143,0.46,0.214176468,10,0.140625
30002,Germany,0.33,1.285714286,1.30,0.642529405,10,0.046875
30002,Italy,0.33,1.285714286,1.72,0.214176468,10,0.046875
30002,Turkey,0.33,-0.857142857,0.46,-0.642529405,10,0
30002,Britain,0.33,-0.857142857,0.04,-1.070882342,10,0
30002,France,0.33,-0.142857143,-0.80,0.642529405,10,0
30002,Russia,2.00,-0.857142857,-0.38,1.070882342,10,0
29974,Italy,0.33,1.285714286,1.72,0.214176468,10,0.15625
29974,Russia,2.00,-0.857142857,-0.38,1.070882342,10,0.140625
29974,Germany,0.33,1.285714286,1.30,0.642529405,10,0.09375
29974,Ukraine,0.33,-0.142857143,0.46,0.214176468,10,0.09375
29974,Britain,0.33,-0.857142857,0.04,-1.070882342,10,0.09375
29974,Turkey,0.33,-0.857142857,0.46,-0.642529405,10,0.09375
29974,Egypt,-1.33,-1.571428571,-1.22,-1.927588216,10,0.09375
29974,Spain,-1.33,0.571428571,-1.63,-0.642529405,10,0.078125
29974,Poland,-1.33,1.285714286,0.04,1.499235279,10,0.0625
29974,France,0.33,-0.142857143,-0.80,0.642529405,10,0.046875
29712,Turkey,0.33,-0.857142857,0.46,-0.642529405,10,0.515625
29712,Britain,0.33,-0.857142857,0.04,-1.070882342,10,0.484375
29712,Russia,2.00,-0.857142857,-0.38,1.070882342,10,0
29712,Ukraine,0.33,-0.142857143,0.46,0.214176468,10,0
29712,Spain,-1.33,0.571428571,-1.63,-0.642529405,10,0
29712,Italy,0.33,1.285714286,1.72,0.214176468,10,0
29712,Germany,0.33,1.285714286,1.30,0.642529405,10,0
29712,Poland,-1.33,1.285714286,0.04,1.499235279,10,0
29712,France,0.33,-0.142857143,-0.80,0.642529405,10,0
29712,Egypt,-1.33,-1.571428571,-1.22,-1.927588216,10,0
29707,Turkey,0.33,-0.857142857,0.46,-0.642529405,10,0.234375
29707,Germany,0.33,1.285714286,1.30,0.642529405,10,0.21875
29707,Russia,2.00,-0.857142857,-0.38,1.070882342,10,0.203125
29707,Egypt,-1.33,-1.571428571,-1.22,-1.927588216,10,0.171875
29707,Italy,0.33,1.285714286,1.72,0.214176468,10,0.171875
29707,Britain,0.33,-0.857142857,0.04,-1.070882342,10,0
29707,France,0.33,-0.142857143,-0.80,0.642529405,10,0
29707,Poland,-1.33,1.285714286,0.04,1.499235279,10,0
29707,Spain,-1.33,0.571428571,-1.63,-0.642529405,10,0
29707,Ukraine,0.33,-0.142857143,0.46,0.214176468,10,0
28809,Poland,-1.33,1.285714286,0.04,1.499235279,10,0.515625
28809,Egypt,-1.33,-1.571428571,-1.22,-1.927588216,10,0.25
28809,Germany,0.33,1.285714286,1.30,0.642529405,10,0.21875
28809,Italy,0.33,1.285714286,1.72,0.214176468,10,0.015625
28809,Britain,0.33,-0.857142857,0.04,-1.070882342,10,0
28809,France,0.33,-0.142857143,-0.80,0.642529405,10,0
28809,Russia,2.00,-0.857142857,-0.38,1.070882342,10,0
28809,Spain,-1.33,0.571428571,-1.63,-0.642529405,10,0
28809,Turkey,0.33,-0.857142857,0.46,-0.642529405,10,0
28809,Ukraine,0.33,-0.142857143,0.46,0.214176468,10,0
28721,Spain,-1.33,0.571428571,-1.63,-0.642529405,10,0.046875
28721,France,0.33,-0.142857143,-0.80,0.642529405,10,0.46875
28721,Germany,0.33,1.285714286,1.30,0.642529405,10,0.3125
28721,Egypt,-1.33,-1.571428571,-1.22,-1.927588216,10,0.0625
