Game ID,Country,Z-score for % starting SCs,Z-score for distance to edge,Z-score for % SCs which are neutrals within two moves,Z-score for other player's starting units within three moves of player's units or SCs,Number of players,% Supply Centers at game end
37052,Brazil,1.732050808,-0.577350269,0.12,0.762492852,4,0.08333333333333333
37052,Chile,-0.577350269,-0.577350269,0.12,0.15249857,4,0.5
37052,Colombia,-0.577350269,-0.577350269,-1.53,-1.677484274,4,0
37052,Argentina,-0.577350269,1.732050808,1.28,0.762492852,4,0
36933,Argentina,-0.577350269,1.732050808,1.28,0.762492852,4,0.3333333333333333
36933,Brazil,1.732050808,-0.577350269,0.12,0.762492852,4,0.25
36933,Chile,-0.577350269,-0.577350269,0.12,0.15249857,4,0.20833333333333334
36933,Colombia,-0.577350269,-0.577350269,-1.53,-1.677484274,4,0.20833333333333334
36792,Colombia,-0.577350269,-0.577350269,-1.53,-1.677484274,4,0.4583333333333333
36792,Argentina,-0.577350269,1.732050808,1.28,0.762492852,4,0.2916666666666667
36792,Chile,-0.577350269,-0.577350269,0.12,0.15249857,4,0.25
36792,Brazil,1.732050808,-0.577350269,0.12,0.762492852,4,0
36371,Brazil,1.732050808,-0.577350269,0.12,0.762492852,4,0.5416666666666666
36371,Argentina,-0.577350269,1.732050808,1.28,0.762492852,4,0.125
36371,Colombia,-0.577350269,-0.577350269,-1.53,-1.677484274,4,0.08333333333333333
36371,Chile,-0.577350269,-0.577350269,0.12,0.15249857,4,0.20833333333333334
36322,Colombia,-0.577350269,-0.577350269,-1.53,-1.677484274,4,0.5833333333333334
36322,Argentina,-0.577350269,1.732050808,1.28,0.762492852,4,0.375
36322,Brazil,1.732050808,-0.577350269,0.12,0.762492852,4,0.041666666666666664
36322,Chile,-0.577350269,-0.577350269,0.12,0.15249857,4,0.0
36144,Argentina,-0.577350269,1.732050808,1.28,0.762492852,4,0.25
36144,Colombia,-0.577350269,-0.577350269,-1.53,-1.677484274,4,0.375
36144,Chile,-0.577350269,-0.577350269,0.12,0.15249857,4,0.25
36144,Brazil,1.732050808,-0.577350269,0.12,0.762492852,4,0.08333333333333333
36059,Brazil,1.732050808,-0.577350269,0.12,0.762492852,4,0.2916666666666667
36059,Argentina,-0.577350269,1.732050808,1.28,0.762492852,4,0.25
36059,Chile,-0.577350269,-0.577350269,0.12,0.15249857,4,0.25
36059,Colombia,-0.577350269,-0.577350269,-1.53,-1.677484274,4,0.20833333333333334
35875,Argentina,-0.577350269,1.732050808,1.28,0.762492852,4,0.4166666666666667
35875,Colombia,-0.577350269,-0.577350269,-1.53,-1.677484274,4,0.25
35875,Chile,-0.577350269,-0.577350269,0.12,0.15249857,4,0.20833333333333334
35875,Brazil,1.732050808,-0.577350269,0.12,0.762492852,4,0.125
35592,Chile,-0.577350269,-0.577350269,0.12,0.15249857,4,0.16666666666666666
35592,Argentina,-0.577350269,1.732050808,1.28,0.762492852,4,0.4583333333333333
35592,Colombia,-0.577350269,-0.577350269,-1.53,-1.677484274,4,0.3333333333333333
35592,Brazil,1.732050808,-0.577350269,0.12,0.762492852,4,0.041666666666666664
35536,Brazil,1.732050808,-0.577350269,0.12,0.762492852,4,0.25
35536,Colombia,-0.577350269,-0.577350269,-1.53,-1.677484274,4,0.3333333333333333
