Game ID,Country,Z-score for % starting SCs,Z-score for distance to edge,Z-score for % SCs which are neutrals within two moves,Z-score for other player's starting units within three moves of player's units or SCs,Number of players,% Supply Centers at game end
36548,Britain,0.00,0,-0.177393719,-0.8125,5,0.33783783783783783
36548,France,0.00,0,-1.655674709,1.0625,5,0
36548,Germany,0.00,1.58113883,1.300887271,1.0625,5,0
36548,Soviet Russia,0.00,-1.58113883,-0.177393719,-1.4375,5,0
36548,Italy,0.00,0,0.709574875,0.125,5,0
36388,France,0.00,0,-1.655674709,1.0625,5,0.3783783783783784
36388,Germany,0.00,1.58113883,1.300887271,1.0625,5,0.24324324324324326
36388,Britain,0.00,0,-0.177393719,-0.8125,5,0.22972972972972974
36388,Soviet Russia,0.00,-1.58113883,-0.177393719,-1.4375,5,0.0945945945945946
36388,Italy,0.00,0,0.709574875,0.125,5,0
36383,Soviet Russia,0.00,-1.58113883,-0.177393719,-1.4375,5,0.35135135135135137
36383,Italy,0.00,0,0.709574875,0.125,5,0.16216216216216217
36383,Germany,0.00,1.58113883,1.300887271,1.0625,5,0.12162162162162163
36383,Britain,0.00,0,-0.177393719,-0.8125,5,0
36383,France,0.00,0,-1.655674709,1.0625,5,0
36331,Germany,0.00,1.58113883,1.300887271,1.0625,5,0.6216216216216216
36331,Italy,0.00,0,0.709574875,0.125,5,0.32432432432432434
36331,France,0.00,0,-1.655674709,1.0625,5,0.04054054054054054
36331,Soviet Russia,0.00,-1.58113883,-0.177393719,-1.4375,5,0.013513513513513514
36331,Britain,0.00,0,-0.177393719,-0.8125,5,0
36194,Britain,0.00,0,-0.177393719,-0.8125,5,0.6351351351351351
36194,Soviet Russia,0.00,-1.58113883,-0.177393719,-1.4375,5,0.1891891891891892
36194,Germany,0.00,1.58113883,1.300887271,1.0625,5,0.17567567567567569
36194,France,0.00,0,-1.655674709,1.0625,5,0
36194,Italy,0.00,0,0.709574875,0.125,5,0
36048,Germany,0.00,1.58113883,1.300887271,1.0625,5,0.4189189189189189
36048,Italy,0.00,0,0.709574875,0.125,5,0.2972972972972973
36048,France,0.00,0,-1.655674709,1.0625,5,0.28378378378378377
36048,Britain,0.00,0,-0.177393719,-0.8125,5,0
36048,Soviet Russia,0.00,-1.58113883,-0.177393719,-1.4375,5,0
36032,Soviet Russia,0.00,-1.58113883,-0.177393719,-1.4375,5,0.5540540540540541
36032,Britain,0.00,0,-0.177393719,-0.8125,5,0.25675675675675674
36032,Italy,0.00,0,0.709574875,0.125,5,0.0945945945945946
36032,France,0.00,0,-1.655674709,1.0625,5,0.0945945945945946
36032,Germany,0.00,1.58113883,1.300887271,1.0625,5,0
36017,France,0.00,0,-1.655674709,1.0625,5,0.36486486486486486
36017,Germany,0.00,1.58113883,1.300887271,1.0625,5,0.32432432432432434
36017,Soviet Russia,0.00,-1.58113883,-0.177393719,-1.4375,5,0.3108108108108108
36017,Britain,0.00,0,-0.177393719,-0.8125,5,0
36017,Italy,0.00,0,0.709574875,0.125,5,0
35959,France,0.00,0,-1.655674709,1.0625,5,0.33783783783783783
35959,Soviet Russia,0.00,-1.58113883,-0.177393719,-1.4375,5,0.3108108108108108
35959,Germany,0.00,1.58113883,1.300887271,1.0625,5,0.20270270270270271
35959,Britain,0.00,0,-0.177393719,-0.8125,5,0.14864864864864866
35959,Italy,0.00,0,0.709574875,0.125,5,0
35955,Britain,0.00,0,-0.177393719,-0.8125,5,0.28378378378378377
35955,Italy,0.00,0,0.709574875,0.125,5,0.28378378378378377
35955,Soviet Russia,0.00,-1.58113883,-0.177393719,-1.4375,5,0.17567567567567569
35955,Germany,0.00,1.58113883,1.300887271,1.0625,5,0.16216216216216217
